職位名稱,公司名稱,地區,工作詳情,發佈時間,網址
資訊科技及教學助理,北角衛理小學,North Point,"協助學校IT相關工作、 支援電子教學、學生活動、教材製作
中六或以上程度, 熟悉電腦操作, 文書處理及軟件應用
北角區小學",12h ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E5%8F%8A%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010574501?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=11&jobId=jobsdb-hk-job-100003010574501"", ""資訊科技及教學助理 工作網址連結"")"
合約/全職到校導師 (五天工作),Caprikon Education,Kwun Tong Area,,7d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%90%88%E7%B4%84-%E5%85%A8%E8%81%B7%E5%88%B0%E6%A0%A1%E5%B0%8E%E5%B8%AB-%E4%BA%94%E5%A4%A9%E5%B7%A5%E4%BD%9C-100003010558032?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=12&jobId=jobsdb-hk-job-100003010558032"", ""合約/全職到校導師 (五天工作) 工作網址連結"")"
23-24學年各類課外活動導師,Fanling Kau Yan College,North Point,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/23-24%E5%AD%B8%E5%B9%B4%E5%90%84%E9%A1%9E%E8%AA%B2%E5%A4%96%E6%B4%BB%E5%8B%95%E5%B0%8E%E5%B8%AB-100003010572602?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=13&jobId=jobsdb-hk-job-100003010572602"", ""23-24學年各類課外活動導師 工作網址連結"")"
中文科 / 數學科月薪代課教師 (代產假),Hong Kong Taoist Association Wun Tsuen School,Ngau Tau Kok,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E4%B8%AD%E6%96%87%E7%A7%91-%E6%95%B8%E5%AD%B8%E7%A7%91%E6%9C%88%E8%96%AA%E4%BB%A3%E8%AA%B2%E6%95%99%E5%B8%AB-%E4%BB%A3%E7%94%A2%E5%81%87-100003010568531?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=14&jobId=jobsdb-hk-job-100003010568531"", ""中文科 / 數學科月薪代課教師 (代產假) 工作網址連結"")"
Teacher/ Tutor,Torch Education Co.,Kwun Tong Area,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/teacher-tutor-100003010571927?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=15&jobId=jobsdb-hk-job-100003010571927"", ""Teacher/ Tutor 工作網址連結"")"
幼兒園教師* Nursery Teacher*,Sheng Kung Hui St. Christopher's Home Limited,Wan Chai,,9d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%B9%BC%E5%85%92%E5%9C%92%E6%95%99%E5%B8%AB*-nursery-teacher*-100003010549453?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=16&jobId=jobsdb-hk-job-100003010549453"", ""幼兒園教師* Nursery Teacher* 工作網址連結"")"
高級住宿幼兒工作員(全職/半職),Po Leung Kuk,Wan Chai,,7d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E9%AB%98%E7%B4%9A%E4%BD%8F%E5%AE%BF%E5%B9%BC%E5%85%92%E5%B7%A5%E4%BD%9C%E5%93%A1-%E5%85%A8%E8%81%B7-%E5%8D%8A%E8%81%B7-100003010558100?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=17&jobId=jobsdb-hk-job-100003010558100"", ""高級住宿幼兒工作員(全職/半職) 工作網址連結"")"
教學助理 (TA),The Incorporated Management Committee of Sau Mau Ping Catholic Primary School,Kwun Tong,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-ta-100003010569087?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=18&jobId=jobsdb-hk-job-100003010569087"", ""教學助理 (TA) 工作網址連結"")"
Mathematics Tutor (Core / M1 / M2) 數學科導師 (Core / M1 / M2),UNI Education Centre Limited,Kwun Tong Area,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/mathematics-tutor-core-m1-m2-%E6%95%B8%E5%AD%B8%E7%A7%91%E5%B0%8E%E5%B8%AB-core-m1-m2-100003010569056?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=19&jobId=jobsdb-hk-job-100003010569056"", ""Mathematics Tutor (Core / M1 / M2) 數學科導師 (Core / M1 / M2) 工作網址連結"")"
日薪代課教師 (音樂科),Hong Kong Taoist Association Wun Tsuen School,Ngau Tau Kok,,2d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E6%97%A5%E8%96%AA%E4%BB%A3%E8%AA%B2%E6%95%99%E5%B8%AB-%E9%9F%B3%E6%A8%82%E7%A7%91-100003010568545?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=20&jobId=jobsdb-hk-job-100003010568545"", ""日薪代課教師 (音樂科) 工作網址連結"")"
功課輔導班導師,Solution (H.K.E.) Education Centre Limited,Causeway Bay,,1d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%8A%9F%E8%AA%B2%E8%BC%94%E5%B0%8E%E7%8F%AD%E5%B0%8E%E5%B8%AB-100003010572645?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=21&jobId=jobsdb-hk-job-100003010572645"", ""功課輔導班導師 工作網址連結"")"
學務及公民及社會發展科教學助理,S.K.H. Leung Kwai Yee Secondary School,Kwun Tong,,12d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%AD%B8%E5%8B%99%E5%8F%8A%E5%85%AC%E6%B0%91%E5%8F%8A%E7%A4%BE%E6%9C%83%E7%99%BC%E5%B1%95%E7%A7%91%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010547033?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=22&jobId=jobsdb-hk-job-100003010547033"", ""學務及公民及社會發展科教學助理 工作網址連結"")"
英文科教學助理,S.K.H. Leung Kwai Yee Secondary School,Kwun Tong,,12d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010547056?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=23&jobId=jobsdb-hk-job-100003010547056"", ""英文科教學助理 工作網址連結"")"
"廚房 細工 (Full-time/全職) (工作地點: 尖沙咀, 銅鑼灣)",Urban Coffee Roaster Limited,Causeway Bay,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%BB%9A%E6%88%BF-%E7%B4%B0%E5%B7%A5-full-time-%E5%85%A8%E8%81%B7-%E5%B7%A5%E4%BD%9C%E5%9C%B0%E9%BB%9E%3A-%E5%B0%96%E6%B2%99%E5%92%80-%E9%8A%85%E9%91%BC%E7%81%A3-100003010554857?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=24&jobId=jobsdb-hk-job-100003010554857"", ""廚房 細工 (Full-time/全職) (工作地點: 尖沙咀, 銅鑼灣) 工作網址連結"")"
半職小學功課輔導班導師,Full of Fun Learning Centre,Eastern Area,,6d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%8D%8A%E8%81%B7%E5%B0%8F%E5%AD%B8%E5%8A%9F%E8%AA%B2%E8%BC%94%E5%B0%8E%E7%8F%AD%E5%B0%8E%E5%B8%AB-100003010562459?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=25&jobId=jobsdb-hk-job-100003010562459"", ""半職小學功課輔導班導師 工作網址連結"")"
星期六幼兒英語班導師,Maestro Education Limited,Ngau Tau Kok,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E6%98%9F%E6%9C%9F%E5%85%AD%E5%B9%BC%E5%85%92%E8%8B%B1%E8%AA%9E%E7%8F%AD%E5%B0%8E%E5%B8%AB-100003010554261?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=26&jobId=jobsdb-hk-job-100003010554261"", ""星期六幼兒英語班導師 工作網址連結"")"
"小學導師 (6日) (沙田禾輋)/Primary School Tutor (6 DAYS) (Wo Che, Shatin)",Glorious Path Limited,Tin Hau,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%B0%8F%E5%AD%B8%E5%B0%8E%E5%B8%AB-6%E6%97%A5-%E6%B2%99%E7%94%B0%E7%A6%BE%E8%BC%8B-primary-school-tutor-6-days-wo-che-shatin-100003010554246?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=27&jobId=jobsdb-hk-job-100003010554246"", ""小學導師 (6日) (沙田禾輋)/Primary School Tutor (6 DAYS) (Wo Che, Shatin) 工作網址連結"")"
"廚房 細工 (Full-time/全職) (工作地點: 觀塘, 將軍澳)",Urban Coffee Roaster Limited,Kwun Tong,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%BB%9A%E6%88%BF-%E7%B4%B0%E5%B7%A5-full-time-%E5%85%A8%E8%81%B7-%E5%B7%A5%E4%BD%9C%E5%9C%B0%E9%BB%9E%3A-%E8%A7%80%E5%A1%98-%E5%B0%87%E8%BB%8D%E6%BE%B3-100003010554867?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=28&jobId=jobsdb-hk-job-100003010554867"", ""廚房 細工 (Full-time/全職) (工作地點: 觀塘, 將軍澳) 工作網址連結"")"
"廚房 中工 (Full-time/全職) (工作地點: 觀塘, 將軍澳)",Urban Coffee Roaster Limited,Kwun Tong,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%BB%9A%E6%88%BF-%E4%B8%AD%E5%B7%A5-full-time-%E5%85%A8%E8%81%B7-%E5%B7%A5%E4%BD%9C%E5%9C%B0%E9%BB%9E%3A-%E8%A7%80%E5%A1%98-%E5%B0%87%E8%BB%8D%E6%BE%B3-100003010554837?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=29&jobId=jobsdb-hk-job-100003010554837"", ""廚房 中工 (Full-time/全職) (工作地點: 觀塘, 將軍澳) 工作網址連結"")"
學務及生涯規劃教學助理,S.K.H. Leung Kwai Yee Secondary School,Kwun Tong,,12d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%AD%B8%E5%8B%99%E5%8F%8A%E7%94%9F%E6%B6%AF%E8%A6%8F%E5%8A%83%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-100003010547048?token=0~ab913247-de6b-4ddb-9366-f0c3d518ca40&sectionRank=30&jobId=jobsdb-hk-job-100003010547048"", ""學務及生涯規劃教學助理 工作網址連結"")"
"廚房 中工 (Full-time/全職) (工作地點: 尖沙咀, 銅鑼灣)",Urban Coffee Roaster Limited,Causeway Bay,,8d ago,"=HYPERLINK(""https://hk.jobsdb.com//hk/en/job/%E5%BB%9A%E6%88%BF-%E4%B8%AD%E5%B7%A5-full-time-%E5%85%A8%E8%81%B7-%E5%B7%A5%E4%BD%9C%E5%9C%B0%E9%BB%9E%3A-%E5%B0%96%E6%B2%99%E5%92%80-%E9%8A%85%E9%91%BC%E7%81%A3-100003010554830?token=0~86c7268b-452a-4abd-9d7c-069abf80e4eb&sectionRank=31&jobId=jobsdb-hk-job-100003010554830"", ""廚房 中工 (Full-time/全職) (工作地點: 尖沙咀, 銅鑼灣) 工作網址連結"")"
